# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
   0)   0.085 us    |          } /* _raw_spin_lock_irqsave */
   0)   0.086 us    |                        clear_buddies();
   0)   0.087 us    |                        update_cfs_group();
   0)   0.087 us    |                        update_min_vruntime();
   0)   1.978 us    |                      }
   0)   0.084 us    |                      hrtick_update();
   0)   2.369 us    |                    }
   0)   2.563 us    |                  }
   0)               |                  pick_next_task_fair() {
   0)               |                    newidle_balance() {
   0)   0.097 us    |                      __msecs_to_jiffies();
   0)   0.086 us    |                      rcu_read_unlock_strict();
   0)   0.085 us    |                      nohz_newidle_balance();
   0)   0.618 us    |                    }
   0)   0.088 us    |                    try_steal();
   0)   0.087 us    |                    __unthrottle_qos_cfs_rqs();
   0)   1.170 us    |                  }
   0)               |                  put_prev_task_fair() {
   0)               |                    put_prev_entity() {
   0)   0.085 us    |                      check_cfs_rq_runtime();
   0)   0.088 us    |                      check_spread.isra.0();
   0)   0.440 us    |                    }
   0)   0.599 us    |                  }
   0)   0.088 us    |                  pick_next_task_idle();
   0)   0.189 us    |                  __traceiter_sched_switch();
   0)   0.087 us    |                  enter_lazy_tlb();
   0)   0.339 us    |                  finish_task_switch();
   0) + 56.405 us   |                }
   0) + 56.645 us   |              }
   0)   0.106 us    |              _raw_spin_lock_irq();
   0)   0.089 us    |              __finish_swait();
   0) + 57.616 us   |            }
   0) + 57.816 us   |          }
   0)               |          __set_task_comm() {
   0)   0.148 us    |            _raw_spin_lock();
   0)   0.388 us    |          }
   0)               |          sched_setscheduler_nocheck() {
   0)               |            __sched_setscheduler() {
   0)   0.143 us    |              cpuset_read_lock();
   0)               |              task_rq_lock() {
   0)   0.088 us    |                _raw_spin_lock_irqsave();
   0)   0.132 us    |                _raw_spin_lock();
   0)   0.516 us    |              }
   0)               |              update_rq_clock() {
   0)   0.145 us    |                update_rq_clock_task();
   0)   0.339 us    |              }
   0)   0.093 us    |              _raw_spin_unlock_irqrestore();
   0)   0.097 us    |              cpuset_read_unlock();
   0)   2.022 us    |            }
   0)   2.221 us    |          }
   0)   0.083 us    |          housekeeping_cpumask();
   0)               |          set_cpus_allowed_ptr() {
   0)               |            __set_cpus_allowed_ptr() {
   0)               |              task_rq_lock() {
   0)   0.086 us    |                _raw_spin_lock_irqsave();
   0)   0.085 us    |                _raw_spin_lock();
   0)   0.426 us    |              }
   0)               |              update_rq_clock() {
   0)   0.086 us    |                update_rq_clock_task();
   0)   0.267 us    |              }
   0)   0.092 us    |              _raw_spin_unlock_irqrestore();
   0)   1.156 us    |            }
   0)   1.320 us    |          }
   0)   0.191 us    |          kfree();
   0) + 77.134 us   |        }
   0) + 77.326 us   |      }
   0)               |      wake_up_process() {
   0)               |        try_to_wake_up() {
   0)   0.085 us    |          _raw_spin_lock_irqsave();
   0)               |          select_task_rq_fair() {
   0)               |            select_idle_sibling() {
   0)   0.107 us    |              available_idle_cpu();
   0)   0.277 us    |            }
   0)   0.084 us    |            rcu_read_unlock_strict();
   0)   0.677 us    |          }
   0)               |          ttwu_queue() {
   0)               |            ttwu_queue_wakelist.part.0() {
   0)               |              __smp_call_single_queue() {
   0)               |                send_call_function_single_ipi() {
   0)               |                  native_send_call_func_single_ipi() {
   0)               |                    x2apic_send_IPI() {
   0)   8.419 us    |                      __x2apic_send_IPI_dest();
   0)   8.928 us    |                    }
   0)   9.116 us    |                  }
   0)   9.306 us    |                }
   0)   9.520 us    |              }
   0)   9.748 us    |            }
   0)   9.942 us    |          }
   0)   0.174 us    |          _raw_spin_unlock_irqrestore();
   0)   0.100 us    |          ttwu_stat();
   0) + 11.602 us   |        }
   0) + 11.779 us   |      }
   0)               |      __cond_resched() {
   0)   0.114 us    |        rcu_all_qs();
   0)   0.306 us    |      }
   0)               |      down() {
   0)   0.094 us    |        _raw_spin_lock_irqsave();
   0)   0.098 us    |        _raw_spin_unlock_irqrestore();
   0)   0.448 us    |      }
   0)               |      kthread_create_on_node() {
   0)               |        __kthread_create_on_node() {
   0)               |          kmem_cache_alloc_trace() {
   0)   0.085 us    |            should_failslab();
   0)   0.355 us    |          }
   0)   0.128 us    |          _raw_spin_lock();
   0)               |          wake_up_process() {
   0)               |            try_to_wake_up() {
   0)   0.125 us    |              _raw_spin_lock_irqsave();
   0)               |              select_task_rq_fair() {
   0)               |                select_idle_sibling() {
   0)   0.129 us    |                  available_idle_cpu();
   0)   0.312 us    |                }
   0)   0.084 us    |                rcu_read_unlock_strict();
   0)   0.689 us    |              }
   0)               |              ttwu_queue() {
   0)   0.120 us    |                ttwu_queue_wakelist.part.0();
   0)   0.099 us    |                _raw_spin_lock();
   0)               |                update_rq_clock() {
   0)   0.101 us    |                  update_rq_clock_task();
   0)   0.289 us    |                }
   0)               |                ttwu_do_activate() {
   0)               |                  activate_task() {
   0)               |                    enqueue_task_fair() {
   0)               |                      enqueue_entity() {
   0)   0.087 us    |                        update_curr();
