# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
   1)               |                        nand_correct_data [nand_ecc]() {
   1)   0.081 us    |                          __nand_correct_data [nand_ecc]();
   1)   0.231 us    |                        }
   1)               |                        nand_correct_data [nand_ecc]() {
   1)   0.078 us    |                          __nand_correct_data [nand_ecc]();
   1)   0.228 us    |                        }
   1)   6.631 us    |                      }
   1)               |                      nand_wait_readrdy [nand]() {
   1)   0.083 us    |                        ns_exec_op [nandsim]();
   1)   0.247 us    |                      }
   1)   7.295 us    |                    }
   1)   0.081 us    |                    mutex_unlock();
   1)   0.081 us    |                    mutex_unlock();
   1)   8.093 us    |                  }
   1)   8.243 us    |                }
   1)   8.568 us    |              }
   1)   8.732 us    |            }
   1)   8.895 us    |          }
   1)   0.090 us    |          validate_ec_hdr [ubi]();
   1)   9.268 us    |        }
   1)               |        ubi_io_read_vid_hdr [ubi]() {
   1)               |          ubi_io_read [ubi]() {
   1)               |            mtd_read [mtd]() {
   1)               |              mtd_read_oob [mtd]() {
   1)   0.081 us    |                mtd_check_oob_ops [mtd]();
   1)               |                mtd_read_oob_std [mtd]() {
   1)               |                  nand_read_oob [nand]() {
   1)   0.079 us    |                    mutex_lock();
   1)   0.080 us    |                    mutex_lock();
   1)               |                    nand_do_read_ops [nand]() {
   1)   0.079 us    |                      nand_select_target [nand]();
   1)   0.256 us    |                    }
   1)   0.085 us    |                    mutex_unlock();
   1)   0.081 us    |                    mutex_unlock();
   1)   1.043 us    |                  }
   1)   1.193 us    |                }
   1)   1.511 us    |              }
   1)   1.675 us    |            }
   1)   1.836 us    |          }
   1)   0.104 us    |          ubi_check_pattern [ubi]();
   1)   2.177 us    |        }
   1)               |        add_to_list [ubi]() {
   1)               |          kmem_cache_alloc() {
   1)   0.083 us    |            should_failslab();
   1)   0.247 us    |          }
   1)   0.406 us    |        }
   1) + 13.633 us   |      }
   1)               |      __cond_resched() {
   1)   0.088 us    |        rcu_all_qs();
   1)   0.245 us    |      }
   1)               |      scan_peb.constprop.0 [ubi]() {
   1)               |        ubi_io_is_bad [ubi]() {
   1)               |          mtd_block_isbad [mtd]() {
   1)               |            nand_block_isbad [nand]() {
   1)   0.084 us    |              mutex_lock();
   1)   0.080 us    |              mutex_lock();
   1)   0.082 us    |              nand_select_target [nand]();
   1)   0.083 us    |              nand_isbad_bbt [nand]();
   1)   0.083 us    |              mutex_unlock();
   1)   0.081 us    |              mutex_unlock();
   1)   1.052 us    |            }
   1)   1.199 us    |          }
   1)   1.355 us    |        }
   1)               |        ubi_io_read_ec_hdr [ubi]() {
   1)               |          ubi_io_read [ubi]() {
   1)               |            mtd_read [mtd]() {
   1)               |              mtd_read_oob [mtd]() {
   1)   0.082 us    |                mtd_check_oob_ops [mtd]();
   1)               |                mtd_read_oob_std [mtd]() {
   1)               |                  nand_read_oob [nand]() {
   1)   0.081 us    |                    mutex_lock();
   1)   0.078 us    |                    mutex_lock();
   1)               |                    nand_do_read_ops [nand]() {
   1)   0.081 us    |                      nand_select_target [nand]();
   1)               |                      nand_read_page_swecc [nand]() {
   1)               |                        nand_read_page_raw [nand]() {
   1)               |                          nand_read_page_op [nand]() {
   1)               |                            nand_sp_exec_read_page_op [nand]() {
   1)   0.221 us    |                              nand_fill_column_cycles [nand]();
   1)               |                              ns_exec_op [nandsim]() {
   1)               |                                ns_nand_write_byte.isra.0 [nandsim]() {
   1)               |                                  ns_switch_state [nandsim]() {
   1)   0.081 us    |                                    ns_get_state_by_command [nandsim]();
   1)   0.094 us    |                                    ns_find_operation [nandsim]();
   1)   0.407 us    |                                  }
   1)   0.568 us    |                                }
   1)               |                                ns_nand_write_byte.isra.0 [nandsim]() {
   1)   0.106 us    |                                  ns_find_operation [nandsim]();
   1)   0.080 us    |                                  ns_do_state_action [nandsim]();
   1)   0.431 us    |                                }
   1)   0.085 us    |                                ns_nand_write_byte.isra.0 [nandsim]();
   1)   0.081 us    |                                ns_nand_write_byte.isra.0 [nandsim]();
   1)               |                                ns_nand_write_byte.isra.0 [nandsim]() {
   1)               |                                  ns_switch_state [nandsim]() {
   1)               |                                    ns_do_state_action [nandsim]() {
   1)               |                                      ns_read_page [nandsim]() {
   1)   0.133 us    |                                        ns_do_read_error [nandsim]();
   1)   0.389 us    |                                      }
   1)   0.546 us    |                                    }
   1)   0.708 us    |                                  }
   1)   0.882 us    |                                }
   1)   0.096 us    |                                ns_nand_read_buf.isra.0 [nandsim]();
   1)   2.677 us    |                              }
   1)   3.155 us    |                            }
   1)   3.305 us    |                          }
   1)               |                          nand_read_data_op [nand]() {
   1)               |                            ns_exec_op [nandsim]() {
   1)               |                              ns_nand_read_buf.isra.0 [nandsim]() {
   1)   0.090 us    |                                ns_switch_state [nandsim]();
   1)   0.242 us    |                              }
   1)   0.418 us    |                            }
   1)   0.578 us    |                          }
   1)   4.105 us    |                        }
   1)               |                        nand_calculate_ecc [nand_ecc]() {
   1)   0.111 us    |                          __nand_calculate_ecc [nand_ecc]();
   1)   0.265 us    |                        }
   1)               |                        nand_calculate_ecc [nand_ecc]() {
   1)   0.112 us    |                          __nand_calculate_ecc [nand_ecc]();
   1)   0.266 us    |                        }
   1)               |                        mtd_ooblayout_get_eccbytes [mtd]() {
   1)               |                          mtd_ooblayout_get_bytes [mtd]() {
   1)               |                            mtd_ooblayout_find_region [mtd]() {
   1)               |                              mtd_ooblayout_ecc [mtd]() {
   1)   0.092 us    |                                nand_ooblayout_ecc_sp [nandcore]();
   1)   0.242 us    |                              }
   1)   0.399 us    |                            }
   1)               |                            mtd_ooblayout_ecc [mtd]() {
   1)   0.083 us    |                              nand_ooblayout_ecc_sp [nandcore]();
   1)   0.237 us    |                            }
   1)   0.894 us    |                          }
   1)   1.044 us    |                        }
   1)               |                        nand_correct_data [nand_ecc]() {
   1)   0.085 us    |                          __nand_correct_data [nand_ecc]();
   1)   0.235 us    |                        }
   1)               |                        nand_correct_data [nand_ecc]() {
   1)   0.083 us    |                          __nand_correct_data [nand_ecc]();
   1)   0.234 us    |                        }
   1)   6.713 us    |                      }
