# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
   1)               |            select_idle_sibling() {
   1)   0.107 us    |              available_idle_cpu();
   1)   0.613 us    |            }
   1)   0.084 us    |            rcu_read_unlock_strict();
   1)   1.025 us    |          }
   1)               |          ttwu_queue() {
   1)               |            ttwu_queue_wakelist.part.0() {
   1)               |              __smp_call_single_queue() {
   1)               |                send_call_function_single_ipi() {
   1)               |                  native_send_call_func_single_ipi() {
   1)               |                    x2apic_send_IPI() {
   1)   8.561 us    |                      __x2apic_send_IPI_dest();
   1)   9.008 us    |                    }
   1)   9.192 us    |                  }
   1)   9.391 us    |                }
   1)   9.592 us    |              }
   1)   9.822 us    |            }
   1) + 10.003 us   |          }
   1)   0.146 us    |          _raw_spin_unlock_irqrestore();
   1)   0.092 us    |          ttwu_stat();
   1) + 11.928 us   |        }
   1) + 12.103 us   |      }
   1)               |      __cond_resched() {
   1)   0.106 us    |        rcu_all_qs();
   1)   0.297 us    |      }
   1)               |      down() {
   1)   0.094 us    |        _raw_spin_lock_irqsave();
   1)   0.090 us    |        _raw_spin_unlock_irqrestore();
   1)   0.447 us    |      }
   1)               |      kthread_create_on_node() {
   1)               |        __kthread_create_on_node() {
   1)               |          kmem_cache_alloc_trace() {
   1)   0.090 us    |            should_failslab();
   1)   0.322 us    |          }
   1)   0.136 us    |          _raw_spin_lock();
   1)               |          wake_up_process() {
   1)               |            try_to_wake_up() {
   1)   0.120 us    |              _raw_spin_lock_irqsave();
   1)               |              select_task_rq_fair() {
   1)               |                select_idle_sibling() {
   1)   0.103 us    |                  available_idle_cpu();
   1)   0.287 us    |                }
   1)   0.084 us    |                rcu_read_unlock_strict();
   1)   0.636 us    |              }
   1)               |              ttwu_queue() {
   1)   0.119 us    |                ttwu_queue_wakelist.part.0();
   1)   0.104 us    |                _raw_spin_lock();
   1)               |                update_rq_clock() {
   1)   0.139 us    |                  update_rq_clock_task();
   1)   0.320 us    |                }
   1)               |                ttwu_do_activate() {
   1)               |                  activate_task() {
   1)               |                    enqueue_task_fair() {
   1)               |                      enqueue_entity() {
   1)   0.085 us    |                        update_curr();
   1)   0.086 us    |                        __update_load_avg_se();
   1)   0.086 us    |                        __update_load_avg_cfs_rq();
   1)   0.084 us    |                        update_cfs_group();
   1)   0.100 us    |                        check_spread.isra.0();
   1)   0.987 us    |                      }
   1)   0.094 us    |                      hrtick_update();
   1)   1.392 us    |                    }
   1)   1.620 us    |                  }
   1)               |                  ttwu_do_wakeup() {
   1)               |                    check_preempt_curr() {
   1)               |                      resched_curr() {
   1)               |                        native_smp_send_reschedule() {
   1)               |                          x2apic_send_IPI() {
   1)   7.333 us    |                            __x2apic_send_IPI_dest();
   1)   7.720 us    |                          }
   1)   7.895 us    |                        }
   1)   8.094 us    |                      }
   1)   8.277 us    |                    }
   1)   8.566 us    |                  }
   1) + 10.425 us   |                }
   1) + 11.394 us   |              }
   1)   0.108 us    |              _raw_spin_unlock_irqrestore();
   1)   0.086 us    |              ttwu_stat();
   1) + 12.898 us   |            }
   1) + 13.118 us   |          }
   1)               |          wait_for_completion_killable() {
   1)               |            wait_for_common() {
