# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
   1)   0.088 us    |              _raw_spin_unlock_irqrestore();
   1)   1.133 us    |            }
   1)   1.290 us    |          }
   1)   0.209 us    |          kfree();
   1) + 80.981 us   |        }
   1) + 81.153 us   |      }
   1)               |      wake_up_process() {
   1)               |        try_to_wake_up() {
   1)   0.103 us    |          _raw_spin_lock_irqsave();
   1)               |          select_task_rq_fair() {
   1)               |            select_idle_sibling() {
   1)   0.118 us    |              available_idle_cpu();
   1)   0.315 us    |            }
   1)   0.086 us    |            rcu_read_unlock_strict();
   1)   0.909 us    |          }
   1)               |          ttwu_queue() {
   1)               |            ttwu_queue_wakelist.part.0() {
   1)               |              __smp_call_single_queue() {
   1)               |                send_call_function_single_ipi() {
   1)               |                  native_send_call_func_single_ipi() {
   1)               |                    x2apic_send_IPI() {
   1)   7.894 us    |                      __x2apic_send_IPI_dest();
   1)   8.351 us    |                    }
   1)   8.547 us    |                  }
   1)   8.756 us    |                }
   1)   8.959 us    |              }
   1)   9.202 us    |            }
   1)   9.404 us    |          }
   1)   0.160 us    |          _raw_spin_unlock_irqrestore();
   1)   0.107 us    |          ttwu_stat();
   1) + 11.357 us   |        }
   1) + 11.531 us   |      }
   1)               |      __cond_resched() {
   1)   0.117 us    |        rcu_all_qs();
   1)   0.313 us    |      }
   1)               |      down() {
   1)   0.115 us    |        _raw_spin_lock_irqsave();
   1)   0.097 us    |        _raw_spin_unlock_irqrestore();
   1)   0.479 us    |      }
   1)               |      kthread_create_on_node() {
   1)               |        __kthread_create_on_node() {
   1)               |          kmem_cache_alloc_trace() {
   1)   0.091 us    |            should_failslab();
   1)   0.322 us    |          }
   1)   0.128 us    |          _raw_spin_lock();
   1)               |          wake_up_process() {
   1)               |            try_to_wake_up() {
   1)   0.102 us    |              _raw_spin_lock_irqsave();
   1)               |              select_task_rq_fair() {
   1)               |                select_idle_sibling() {
   1)   0.098 us    |                  available_idle_cpu();
   1)   0.127 us    |                  cpus_share_cache();
   1)   0.124 us    |                  available_idle_cpu();
   1)   0.751 us    |                }
   1)   0.088 us    |                rcu_read_unlock_strict();
   1)   1.158 us    |              }
   1)               |              set_task_cpu() {
   1)               |                migrate_task_rq_fair() {
   1)               |                  remove_entity_load_avg() {
   1)   0.097 us    |                    __update_load_avg_blocked_se();
   1)   0.117 us    |                    _raw_spin_lock_irqsave();
   1)   0.097 us    |                    _raw_spin_unlock_irqrestore();
   1)   0.645 us    |                  }
   1)   0.820 us    |                }
   1)   0.125 us    |                set_task_rq_fair();
   1)   1.246 us    |              }
   1)               |              ttwu_queue() {
   1)   0.085 us    |                ttwu_queue_wakelist.part.0();
   1)   0.105 us    |                _raw_spin_lock();
   1)               |                update_rq_clock() {
   1)   0.124 us    |                  update_rq_clock_task();
   1)   0.304 us    |                }
   1)               |                ttwu_do_activate() {
   1)               |                  activate_task() {
   1)               |                    enqueue_task_fair() {
   1)               |                      enqueue_entity() {
   1)   0.087 us    |                        update_curr();
   1)   0.085 us    |                        _raw_spin_lock();
   1)   0.139 us    |                        __update_load_avg_cfs_rq();
   1)   0.115 us    |                        attach_entity_load_avg();
   1)   0.085 us    |                        update_cfs_group();
   1)   0.091 us    |                        check_spread.isra.0();
   1)   1.380 us    |                      }
   1)   0.088 us    |                      hrtick_update();
   1)   1.793 us    |                    }
   1)   1.988 us    |                  }
   1)               |                  ttwu_do_wakeup() {
   1)               |                    check_preempt_curr() {
   1)               |                      resched_curr() {
   1)               |                        native_smp_send_reschedule() {
   1)               |                          x2apic_send_IPI() {
   1)   7.793 us    |                            __x2apic_send_IPI_dest();
   1)   8.206 us    |                          }
   1)   8.387 us    |                        }
   1)   8.578 us    |                      }
   1)   9.029 us    |                    }
   1)   9.349 us    |                  }
   1) + 11.580 us   |                }
   1) + 12.483 us   |              }
   1)   0.111 us    |              _raw_spin_unlock_irqrestore();
   1)   0.094 us    |              ttwu_stat();
   1) + 15.894 us   |            }
   1) + 16.065 us   |          }
   1)               |          wait_for_completion_killable() {
   1)               |            wait_for_common() {
   1)   0.085 us    |              _raw_spin_lock_irq();
   1)   0.102 us    |              __prepare_to_swait();
   1)               |              schedule_timeout() {
   1)               |                schedule() {
   1)               |                  rcu_note_context_switch() {
   1)   0.083 us    |                    rcu_qs();
   1)   0.254 us    |                  }
   1)   0.100 us    |                  _raw_spin_lock();
   1)               |                  update_rq_clock() {
   1)               |                    update_rq_clock_task() {
   1)   0.092 us    |                      update_irq_load_avg();
   1)   0.314 us    |                    }
   1)   0.481 us    |                  }
   1)               |                  deactivate_task() {
   1)               |                    dequeue_task_fair() {
   1)               |                      dequeue_entity() {
