# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
   0)               |                  native_send_call_func_single_ipi() {
   0)   0.125 us    |                ttwu_queue_wakelist.part.0();
   0)   0.116 us    |                _raw_spin_lock();
   0)               |                update_rq_clock() {
   0)   0.111 us    |                  update_rq_clock_task();
   0)   0.293 us    |                }
   0)               |                ttwu_do_activate() {
   0)               |                  activate_task() {
   0)               |                    enqueue_task_fair() {
   0)               |                      enqueue_entity() {
   0)   0.085 us    |                        update_curr();
   0)   0.088 us    |                        __update_load_avg_se();
   0)   0.088 us    |                        __update_load_avg_cfs_rq();
   0)   0.086 us    |                        update_cfs_group();
   0)   0.084 us    |                        check_spread.isra.0();
   0)   1.003 us    |                      }
   0)   0.095 us    |                      hrtick_update();
   0)   1.370 us    |                    }
   0)   1.605 us    |                  }
   0)               |                  ttwu_do_wakeup() {
   0)               |                    check_preempt_curr() {
   0)               |                      resched_curr() {
   0)               |                        native_smp_send_reschedule() {
   0)               |                          x2apic_send_IPI() {
   0)   8.013 us    |                            __x2apic_send_IPI_dest();
   0)   8.517 us    |                          }
   0)   8.723 us    |                        }
   0)   8.931 us    |                      }
   0)   9.154 us    |                    }
   0)   9.442 us    |                  }
   0) + 11.288 us   |                }
   0) + 12.244 us   |              }
   0)               |              _raw_spin_unlock_irqrestore() {
   0)               |                irq_enter_rcu() {
   0)   0.127 us    |                  irqtime_account_irq();
   0)   0.366 us    |                }
   0)               |                __sysvec_apic_timer_interrupt() {
   0)               |                  hrtimer_interrupt() {
   0)   0.126 us    |                    _raw_spin_lock_irqsave();
   0)   0.341 us    |                    ktime_get_update_offsets_now();
   0)               |                    __hrtimer_run_queues() {
   0)               |                      __run_hrtimer() {
   0)   0.094 us    |                        _raw_spin_unlock_irqrestore();
   0)               |                        tick_sched_timer() {
   0)   0.103 us    |                          ktime_get();
   0)   0.089 us    |                          tick_sched_do_timer();
   0)               |                          tick_sched_handle() {
   0)               |                            update_process_times() {
   0)               |                              account_process_tick() {
   0)               |                                irqtime_account_process_tick() {
   0)               |                                  account_system_index_time() {
   0)               |                                    cpuacct_account_field() {
   0)   0.134 us    |                                      rcu_read_unlock_strict();
   0)   0.366 us    |                                    }
   0)   0.087 us    |                                    rcu_read_unlock_strict();
   0)   0.104 us    |                                    acct_account_cputime();
   0)   0.948 us    |                                  }
   0)   1.143 us    |                                }
   0)   1.299 us    |                              }
   0)   0.089 us    |                              hrtimer_run_queues();
   0)               |                              rcu_sched_clock_irq() {
   0)   0.100 us    |                                rcu_is_cpu_rrupt_from_idle();
   0)               |                                rcu_pending() {
   0)   0.109 us    |                                  check_cpu_stall();
   0)   0.085 us    |                                  rcu_is_cpu_rrupt_from_idle();
   0)   0.454 us    |                                }
   0)               |                                invoke_rcu_core() {
   0)               |                                  raise_softirq() {
   0)   0.086 us    |                                    __raise_softirq_irqoff();
