# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
   0)               |                  native_send_call_func_single_ipi() {
   0)   0.113 us    |            should_failslab();
   0)   0.354 us    |          }
   0)   0.159 us    |          _raw_spin_lock();
   0)               |          wake_up_process() {
   0)               |            try_to_wake_up() {
   0)   0.131 us    |              _raw_spin_lock_irqsave();
   0)               |              select_task_rq_fair() {
   0)               |                select_idle_sibling() {
   0)   0.133 us    |                  available_idle_cpu();
   0)   0.319 us    |                }
   0)   0.086 us    |                rcu_read_unlock_strict();
   0)   0.665 us    |              }
   0)               |              ttwu_queue() {
   0)   0.118 us    |                ttwu_queue_wakelist.part.0();
   0)   0.102 us    |                _raw_spin_lock();
   0)               |                update_rq_clock() {
   0)   0.129 us    |                  update_rq_clock_task();
   0)   0.314 us    |                }
   0)               |                ttwu_do_activate() {
   0)               |                  activate_task() {
   0)               |                    enqueue_task_fair() {
   0)               |                      enqueue_entity() {
   0)   0.087 us    |                        update_curr();
   0)   0.088 us    |                        __update_load_avg_se();
   0)   0.088 us    |                        __update_load_avg_cfs_rq();
   0)   0.089 us    |                        update_cfs_group();
   0)   0.091 us    |                        check_spread.isra.0();
   0)   1.047 us    |                      }
   0)   0.096 us    |                      hrtick_update();
   0)   1.418 us    |                    }
   0)   1.631 us    |                  }
   0)               |                  ttwu_do_wakeup() {
   0)               |                    check_preempt_curr() {
   0)               |                      resched_curr() {
   0)               |                        native_smp_send_reschedule() {
   0)               |                          x2apic_send_IPI() {
   0)   7.703 us    |                            __x2apic_send_IPI_dest();
   0)   8.169 us    |                          }
   0)   8.356 us    |                        }
   0)   8.554 us    |                      }
   0)   8.764 us    |                    }
   0)   9.045 us    |                  }
   0) + 10.912 us   |                }
   0) + 11.871 us   |              }
   0)   0.145 us    |              _raw_spin_unlock_irqrestore();
   0)   0.102 us    |              ttwu_stat();
   0) + 13.536 us   |            }
   0) + 13.744 us   |          }
   0)               |          wait_for_completion_killable() {
   0)               |            wait_for_common() {
   0)   0.096 us    |              _raw_spin_lock_irq();
   0)   0.104 us    |              __prepare_to_swait();
   0)               |              schedule_timeout() {
   0)               |                schedule() {
   0)               |                  rcu_note_context_switch() {
   0)   0.092 us    |                    rcu_qs();
   0)   0.259 us    |                  }
   0)   0.318 us    |                  _raw_spin_lock();
   0)               |                  update_rq_clock() {
   0)               |                    update_rq_clock_task() {
   0)   0.095 us    |                      update_irq_load_avg();
   0)   0.316 us    |                    }
   0)   0.491 us    |                  }
   0)               |                  deactivate_task() {
   0)               |                    dequeue_task_fair() {
   0)               |                      dequeue_entity() {
   0)               |                        update_curr() {
   0)   0.083 us    |                          update_min_vruntime();
   0)               |                          cpuacct_charge() {
   0)   0.176 us    |                            rcu_read_unlock_strict();
   0)   0.345 us    |                          }
   0)   0.104 us    |                          rcu_read_unlock_strict();
   0)   0.948 us    |                        }
   0)   0.107 us    |                        __update_load_avg_se();
   0)   0.088 us    |                        __update_load_avg_cfs_rq();
   0)   0.084 us    |                        clear_buddies();
   0)   0.089 us    |                        update_cfs_group();
   0)   0.082 us    |                        update_min_vruntime();
   0)   2.026 us    |                      }
   0)   0.082 us    |                      hrtick_update();
   0)   2.384 us    |                    }
   0)   2.576 us    |                  }
   0)               |                  pick_next_task_fair() {
   0)               |                    newidle_balance() {
   0)   0.099 us    |                      __msecs_to_jiffies();
   0)   0.084 us    |                      rcu_read_unlock_strict();
   0)   0.085 us    |                      nohz_newidle_balance();
   0)   0.619 us    |                    }
   0)   0.083 us    |                    try_steal();
   0)   0.091 us    |                    __unthrottle_qos_cfs_rqs();
   0)   1.185 us    |                  }
   0)               |                  put_prev_task_fair() {
   0)               |                    put_prev_entity() {
   0)   0.085 us    |                      check_cfs_rq_runtime();
   0)   0.104 us    |                      check_spread.isra.0();
   0)   0.458 us    |                    }
   0)   0.626 us    |                  }
   0)   0.083 us    |                  pick_next_task_idle();
   0)   0.174 us    |                  __traceiter_sched_switch();
   0)   0.085 us    |                  enter_lazy_tlb();
   0)   0.520 us    |                  finish_task_switch();
   0) + 64.083 us   |                }
   0) + 64.326 us   |              }
   0)   0.091 us    |              _raw_spin_lock_irq();
   0)   0.095 us    |              __finish_swait();
   0) + 65.313 us   |            }
   0) + 65.519 us   |          }
   0)               |          __set_task_comm() {
   0)   0.160 us    |            _raw_spin_lock();
   0)   0.424 us    |          }
   0)               |          sched_setscheduler_nocheck() {
   0)               |            __sched_setscheduler() {
   0)   0.139 us    |              cpuset_read_lock();
   0)               |              task_rq_lock() {
   0)   0.085 us    |                _raw_spin_lock_irqsave();
   0)   0.122 us    |                _raw_spin_lock();
   0)   0.475 us    |              }
   0)               |              update_rq_clock() {
   0)   0.125 us    |                update_rq_clock_task();
   0)   0.327 us    |              }
   0)   0.090 us    |              _raw_spin_unlock_irqrestore();
   0)   0.088 us    |              cpuset_read_unlock();
   0)   1.732 us    |            }
   0)   1.932 us    |          }
   0)   0.091 us    |          housekeeping_cpumask();
   0)               |          set_cpus_allowed_ptr() {
   0)               |            __set_cpus_allowed_ptr() {
   0)               |              task_rq_lock() {
   0)   0.087 us    |                _raw_spin_lock_irqsave();
   0)   0.083 us    |                _raw_spin_lock();
   0)   0.419 us    |              }
   0)               |              update_rq_clock() {
   0)   0.089 us    |                update_rq_clock_task();
   0)   0.256 us    |              }
   0)   0.094 us    |              _raw_spin_unlock_irqrestore();
   0)   1.415 us    |            }
   0)   1.569 us    |          }
   0)               |          kfree() {
   0)   0.143 us    |            __slab_free();
   0)   0.483 us    |          }
   0) + 85.248 us   |        }
   0) + 85.441 us   |      }
   0)               |      wake_up_process() {
   0)               |        try_to_wake_up() {
   0)   0.087 us    |          _raw_spin_lock_irqsave();
   0)               |          select_task_rq_fair() {
   0)               |            select_idle_sibling() {
   0)   0.114 us    |              available_idle_cpu();
   0)   0.282 us    |            }
   0)   0.088 us    |            rcu_read_unlock_strict();
   0)   0.722 us    |          }
   0)               |          ttwu_queue() {
   0)   0.111 us    |            ttwu_queue_wakelist.part.0();
   0)   0.088 us    |            _raw_spin_lock();
   0)               |            update_rq_clock() {
   0)   0.087 us    |              update_rq_clock_task();
   0)   0.255 us    |            }
   0)               |            ttwu_do_activate() {
   0)               |              activate_task() {
   0)               |                enqueue_task_fair() {
   0)               |                  enqueue_entity() {
   0)   0.100 us    |                    update_curr();
   0)   0.095 us    |                    __update_load_avg_se();
   0)   0.093 us    |                    __update_load_avg_cfs_rq();
   0)   0.087 us    |                    update_cfs_group();
   0)   0.094 us    |                    check_spread.isra.0();
   0)   1.114 us    |                  }
   0)   0.085 us    |                  hrtick_update();
   0)   1.528 us    |                }
   0)   1.727 us    |              }
   0)               |              ttwu_do_wakeup() {
   0)               |                check_preempt_curr() {
   0)               |                  resched_curr() {
   0)               |                    native_smp_send_reschedule() {
   0)               |                      x2apic_send_IPI() {
   0)   8.490 us    |                        __x2apic_send_IPI_dest();
   0)   8.955 us    |                      }
   0)   9.143 us    |                    }
   0)   9.345 us    |                  }
   0)   9.533 us    |                }
   0)   9.888 us    |              }
   0) + 11.865 us   |            }
   0) + 12.762 us   |          }
   0)   0.114 us    |          _raw_spin_unlock_irqrestore();
   0)   0.085 us    |          ttwu_stat();
   0) + 14.352 us   |        }
   0) + 14.510 us   |      }
   0)               |      __cond_resched() {
   0)   0.090 us    |        rcu_all_qs();
   0)   0.266 us    |      }
   0)               |      down() {
   0)   0.085 us    |        _raw_spin_lock_irqsave();
   0)   0.088 us    |        _raw_spin_unlock_irqrestore();
   0)   0.421 us    |      }
   0)               |      kthread_create_on_node() {
   0)               |        __kthread_create_on_node() {
   0)               |          kmem_cache_alloc_trace() {
   0)   0.100 us    |            should_failslab();
   0)   0.318 us    |          }
   0)   0.143 us    |          _raw_spin_lock();
   0)               |          wake_up_process() {
   0)               |            try_to_wake_up() {
   0)   0.109 us    |              _raw_spin_lock_irqsave();
   0)               |              select_task_rq_fair() {
   0)               |                select_idle_sibling() {
   0)   0.095 us    |                  available_idle_cpu();
   0)   0.095 us    |                  cpus_share_cache();
   0)   0.092 us    |                  available_idle_cpu();
   0)               |                  select_idle_cpu() {
   0)   0.085 us    |                    available_idle_cpu();
   0)   0.088 us    |                    available_idle_cpu();
   0)   0.656 us    |                  }
   0)   1.445 us    |                }
   0)   0.087 us    |                rcu_read_unlock_strict();
   0)   1.818 us    |              }
   0)               |              ttwu_queue() {
   0)   0.091 us    |                ttwu_queue_wakelist.part.0();
   0)   0.087 us    |                _raw_spin_lock();
   0)               |                update_rq_clock() {
   0)   0.095 us    |                  update_rq_clock_task();
   0)   0.258 us    |                }
   0)               |                ttwu_do_activate() {
   0)               |                  activate_task() {
   0)               |                    enqueue_task_fair() {
   0)               |                      enqueue_entity() {
   0)               |                        update_curr() {
   0)   0.089 us    |                          update_min_vruntime();
   0)               |                          cpuacct_charge() {
   0)   0.085 us    |                            rcu_read_unlock_strict();
   0)   0.364 us    |                          }
   0)   0.104 us    |                          rcu_read_unlock_strict();
   0)   1.000 us    |                        }
   0)   0.084 us    |                        __update_load_avg_se();
   0)   0.098 us    |                        __update_load_avg_cfs_rq();
   0)   0.086 us    |                        update_cfs_group();
   0)   0.096 us    |                        check_spread.isra.0();
   0)   1.895 us    |                      }
   0)   0.085 us    |                      overload_set();
   0)   0.087 us    |                      hrtick_update();
   0)   2.430 us    |                    }
   0)   2.623 us    |                  }
   0)               |                  ttwu_do_wakeup() {
   0)               |                    check_preempt_curr() {
   0)               |                      check_preempt_wakeup() {
   0)   0.089 us    |                        update_curr();
   0)   0.275 us    |                      }
   0)   0.499 us    |                    }
   0)   0.706 us    |                  }
   0)   3.566 us    |                }
   0)   4.586 us    |              }
   0)   0.093 us    |              _raw_spin_unlock_irqrestore();
   0)   0.086 us    |              ttwu_stat();
   0)   7.208 us    |            }
   0)   7.380 us    |          }
   0)               |          wait_for_completion_killable() {
   0)               |            wait_for_common() {
   0)   0.089 us    |              _raw_spin_lock_irq();
   0)   0.087 us    |              __prepare_to_swait();
   0)               |              schedule_timeout() {
   0)               |                schedule() {
   0)               |                  rcu_note_context_switch() {
   0)   0.095 us    |                    rcu_qs();
   0)   0.276 us    |                  }
   0)   0.086 us    |                  _raw_spin_lock();
   0)               |                  update_rq_clock() {
   0)   0.097 us    |                    update_rq_clock_task();
   0)   0.281 us    |                  }
   0)               |                  deactivate_task() {
   0)               |                    dequeue_task_fair() {
   0)               |                      dequeue_entity() {
   0)               |                        update_curr() {
   0)   0.096 us    |                          update_min_vruntime();
   0)               |                          cpuacct_charge() {
   0)   0.088 us    |                            rcu_read_unlock_strict();
   0)   0.248 us    |                          }
   0)   0.089 us    |                          rcu_read_unlock_strict();
   0)   0.764 us    |                        }
   0)   0.106 us    |                        __update_load_avg_se();
   0)   0.090 us    |                        __update_load_avg_cfs_rq();
   0)   0.088 us    |                        clear_buddies();
   0)   0.087 us    |                        update_cfs_group();
   0)   0.094 us    |                        update_min_vruntime();
   0)   1.829 us    |                      }
   0)   0.088 us    |                      overload_clear();
   0)   0.086 us    |                      hrtick_update();
   0)   2.387 us    |                    }
   0)   2.578 us    |                  }
   0)               |                  pick_next_task_fair() {
   0)   0.086 us    |                    check_cfs_rq_runtime();
   0)               |                    pick_next_entity() {
   0)   0.084 us    |                      clear_buddies();
   0)   0.257 us    |                    }
   0)               |                    put_prev_entity() {
   0)   0.086 us    |                      check_cfs_rq_runtime();
   0)   0.088 us    |                      check_spread.isra.0();
   0)   0.415 us    |                    }
   0)               |                    set_next_entity() {
   0)   0.107 us    |                      __update_load_avg_se();
   0)   0.229 us    |                      __update_load_avg_cfs_rq();
   0)   0.633 us    |                    }
   0)   1.857 us    |                  }
   0)   0.218 us    |                  __traceiter_sched_switch();
   0)   0.086 us    |                  enter_lazy_tlb();
   0)   0.450 us    |                  finish_task_switch();
   0) + 67.317 us   |                }
   0) + 67.588 us   |              }
   0)   0.128 us    |              _raw_spin_lock_irq();
   0)   0.094 us    |              __finish_swait();
   0) + 68.605 us   |            }
   0) + 68.802 us   |          }
   0)               |          __set_task_comm() {
   0)   0.171 us    |            _raw_spin_lock();
   0)   0.457 us    |          }
   0)               |          sched_setscheduler_nocheck() {
   0)               |            __sched_setscheduler() {
   0)   0.133 us    |              cpuset_read_lock();
   0)               |              task_rq_lock() {
   0)   0.088 us    |                _raw_spin_lock_irqsave();
   0)   0.118 us    |                _raw_spin_lock();
   0)   0.499 us    |              }
   0)               |              update_rq_clock() {
   0)   0.132 us    |                update_rq_clock_task();
   0)   0.318 us    |              }
   0)   0.118 us    |              _raw_spin_unlock_irqrestore();
   0)   0.084 us    |              cpuset_read_unlock();
   0)   1.773 us    |            }
   0)   1.973 us    |          }
   0)   0.084 us    |          housekeeping_cpumask();
   0)               |          set_cpus_allowed_ptr() {
   0)               |            __set_cpus_allowed_ptr() {
   0)               |              task_rq_lock() {
   0)   0.083 us    |                _raw_spin_lock_irqsave();
   0)   0.082 us    |                _raw_spin_lock();
   0)   0.424 us    |              }
   0)               |              update_rq_clock() {
   0)   0.087 us    |                update_rq_clock_task();
   0)   0.261 us    |              }
   0)   0.103 us    |              _raw_spin_unlock_irqrestore();
   0)   1.170 us    |            }
   0)   1.328 us    |          }
   0)   0.207 us    |          kfree();
   0) + 82.077 us   |        }
   0) + 82.259 us   |      }
   0)               |      wake_up_process() {
   0)               |        try_to_wake_up() {
   0)   0.086 us    |          _raw_spin_lock_irqsave();
   0)               |          select_task_rq_fair() {
   0)               |            select_idle_sibling() {
   0)   0.113 us    |              available_idle_cpu();
   0)   0.312 us    |            }
   0)   0.086 us    |            rcu_read_unlock_strict();
   0)   0.756 us    |          }
   0)               |          ttwu_queue() {
   0)               |            ttwu_queue_wakelist.part.0() {
   0)               |              __smp_call_single_queue() {
   0)               |                send_call_function_single_ipi() {
   0)               |                  native_send_call_func_single_ipi() {
   0)               |                    x2apic_send_IPI() {
   0)   8.851 us    |                      __x2apic_send_IPI_dest();
   0)   9.284 us    |                    }
   0)   9.475 us    |                  }
   0)   9.675 us    |                }
   0)   9.874 us    |              }
   0) + 10.111 us   |            }
   0) + 10.296 us   |          }
   0)   0.155 us    |          _raw_spin_unlock_irqrestore();
   0)   0.085 us    |          ttwu_stat();
   0) + 11.977 us   |        }
   0) + 12.141 us   |      }
   0)               |      __cond_resched() {
   0)   0.092 us    |        rcu_all_qs();
   0)   0.265 us    |      }
   0)               |      down() {
   0)   0.084 us    |        _raw_spin_lock_irqsave();
   0)   0.093 us    |        _raw_spin_unlock_irqrestore();
   0)   0.437 us    |      }
   0)               |      kthread_create_on_node() {
   0)               |        __kthread_create_on_node() {
   0)               |          kmem_cache_alloc_trace() {
   0)   0.103 us    |            should_failslab();
   0)   0.338 us    |          }
   0)   0.130 us    |          _raw_spin_lock();
   0)               |          wake_up_process() {
   0)               |            try_to_wake_up() {
   0)   0.111 us    |              _raw_spin_lock_irqsave();
   0)               |              select_task_rq_fair() {
   0)               |                select_idle_sibling() {
   0)   0.094 us    |                  available_idle_cpu();
   0)   0.108 us    |                  cpus_share_cache();
   0)   0.121 us    |                  available_idle_cpu();
   0)   0.691 us    |                }
   0)   0.083 us    |                rcu_read_unlock_strict();
   0)   1.029 us    |              }
   0)               |              set_task_cpu() {
   0)               |                migrate_task_rq_fair() {
   0)               |                  remove_entity_load_avg() {
   0)   0.098 us    |                    __update_load_avg_blocked_se();
   0)   0.097 us    |                    _raw_spin_lock_irqsave();
   0)   0.089 us    |                    _raw_spin_unlock_irqrestore();
   0)   0.621 us    |                  }
   0)   0.799 us    |                }
   0)   0.128 us    |                set_task_rq_fair();
   0)   1.274 us    |              }
   0)               |              ttwu_queue() {
   0)   0.085 us    |                ttwu_queue_wakelist.part.0();
   0)   0.101 us    |                _raw_spin_lock();
   0)               |                update_rq_clock() {
   0)   0.122 us    |                  update_rq_clock_task();
   0)   0.293 us    |                }
   0)               |                ttwu_do_activate() {
   0)               |                  activate_task() {
   0)               |                    enqueue_task_fair() {
   0)               |                      enqueue_entity() {
   0)   0.083 us    |                        update_curr();
   0)   0.086 us    |                        _raw_spin_lock();
   0)   0.093 us    |                        __update_load_avg_cfs_rq();
   0)   0.094 us    |                        attach_entity_load_avg();
   0)   0.098 us    |                        update_cfs_group();
   0)   0.097 us    |                        check_spread.isra.0();
   0)   1.294 us    |                      }
   0)   0.088 us    |                      hrtick_update();
   0)   1.704 us    |                    }
   0)   1.904 us    |                  }
   0)               |                  ttwu_do_wakeup() {
   0)               |                    check_preempt_curr() {
   0)               |                      resched_curr() {
   0)               |                        native_smp_send_reschedule() {
   0)               |                          x2apic_send_IPI() {
   0)   7.523 us    |                            __x2apic_send_IPI_dest();
   0)   7.941 us    |                          }
   0)   8.125 us    |                        }
   0)   8.325 us    |                      }
   0)   8.513 us    |                    }
   0)   8.799 us    |                  }
   0) + 10.945 us   |                }
   0) + 11.841 us   |              }
   0)   0.120 us    |              _raw_spin_unlock_irqrestore();
   0)   0.088 us    |              ttwu_stat();
   0) + 15.141 us   |            }
   0) + 15.330 us   |          }
   0)               |          wait_for_completion_killable() {
   0)               |            wait_for_common() {
   0)   0.089 us    |              _raw_spin_lock_irq();
   0)   0.121 us    |              __prepare_to_swait();
   0)               |              schedule_timeout() {
   0)               |                schedule() {
   0)               |                  rcu_note_context_switch() {
   0)   0.094 us    |                    rcu_qs();
   0)   0.266 us    |                  }
   0)   0.096 us    |                  _raw_spin_lock();
   0)               |                  update_rq_clock() {
   0)               |                    update_rq_clock_task() {
   0)   0.090 us    |                      update_irq_load_avg();
   0)   0.313 us    |                    }
   0)   0.482 us    |                  }
   0)               |                  deactivate_task() {
   0)               |                    dequeue_task_fair() {
   0)               |                      dequeue_entity() {
   0)               |                        update_curr() {
   0)   0.084 us    |                          update_min_vruntime();
   0)               |                          cpuacct_charge() {
   0)   0.174 us    |                            rcu_read_unlock_strict();
   0)   0.334 us    |                          }
   0)   0.115 us    |                          rcu_read_unlock_strict();
   0)   0.962 us    |                        }
   0)   0.093 us    |                        __update_load_avg_se();
   0)   0.087 us    |                        _raw_spin_lock();
   0)   0.101 us    |                        __update_load_avg_cfs_rq();
   0)   0.086 us    |                        clear_buddies();
   0)   0.093 us    |                        update_cfs_group();
   0)   0.085 us    |                        update_min_vruntime();
   0)   2.564 us    |                      }
   0)   0.084 us    |                      hrtick_update();
   0)   2.927 us    |                    }
   0)   3.122 us    |                  }
   0)               |                  pick_next_task_fair() {
   0)               |                    newidle_balance() {
   0)   0.099 us    |                      __msecs_to_jiffies();
   0)   0.083 us    |                      rcu_read_unlock_strict();
   0)   0.085 us    |                      nohz_newidle_balance();
   0)   0.613 us    |                    }
   0)   0.086 us    |                    try_steal();
   0)   0.087 us    |                    __unthrottle_qos_cfs_rqs();
   0)   1.206 us    |                  }
   0)               |                  put_prev_task_fair() {
   0)               |                    put_prev_entity() {
   0)   0.085 us    |                      check_cfs_rq_runtime();
   0)   0.090 us    |                      check_spread.isra.0();
   0)   0.462 us    |                    }
   0)   0.630 us    |                  }
   0)   0.088 us    |                  pick_next_task_idle();
   0)   0.209 us    |                  __traceiter_sched_switch();
   0)   0.087 us    |                  enter_lazy_tlb();
   0)   0.318 us    |                  finish_task_switch();
   0) + 55.256 us   |                }
   0) + 55.490 us   |              }
   0)   0.108 us    |              _raw_spin_lock_irq();
   0)   0.089 us    |              __finish_swait();
   0) + 56.491 us   |            }
   0) + 56.673 us   |          }
   0)               |          __set_task_comm() {
   0)   0.160 us    |            _raw_spin_lock();
   0)   0.374 us    |          }
   0)               |          sched_setscheduler_nocheck() {
   0)               |            __sched_setscheduler() {
   0)   0.133 us    |              cpuset_read_lock();
   0)               |              task_rq_lock() {
   0)   0.088 us    |                _raw_spin_lock_irqsave();
   0)   0.117 us    |                _raw_spin_lock();
   0)   0.509 us    |              }
   0)               |              update_rq_clock() {
   0)   0.133 us    |                update_rq_clock_task();
   0)   0.318 us    |              }
   0)   0.121 us    |              _raw_spin_unlock_irqrestore();
   0)   0.083 us    |              cpuset_read_unlock();
   0)   1.772 us    |            }
   0)   1.967 us    |          }
   0)   0.083 us    |          housekeeping_cpumask();
   0)               |          set_cpus_allowed_ptr() {
   0)               |            __set_cpus_allowed_ptr() {
   0)               |              task_rq_lock() {
   0)   0.084 us    |                _raw_spin_lock_irqsave();
   0)   0.085 us    |                _raw_spin_lock();
   0)   0.423 us    |              }
   0)               |              update_rq_clock() {
   0)   0.085 us    |                update_rq_clock_task();
   0)   0.244 us    |              }
   0)   0.090 us    |              _raw_spin_unlock_irqrestore();
   0)   1.134 us    |            }
   0)   1.288 us    |          }
   0)   0.213 us    |          kfree();
   0) + 77.964 us   |        }
   0) + 78.147 us   |      }
   0)               |      wake_up_process() {
   0)               |        try_to_wake_up() {
   0)   0.084 us    |          _raw_spin_lock_irqsave();
   0)               |          select_task_rq_fair() {
   0)               |            select_idle_sibling() {
   0)   0.113 us    |              available_idle_cpu();
   0)   0.312 us    |            }
   0)   0.322 us    |            rcu_read_unlock_strict();
   0)   0.955 us    |          }
   0)               |          ttwu_queue() {
   0)               |            ttwu_queue_wakelist.part.0() {
   0)               |              __smp_call_single_queue() {
   0)               |                send_call_function_single_ipi() {
   0)               |                  native_send_call_func_single_ipi() {
   0)               |                    x2apic_send_IPI() {
   0)   8.681 us    |                      __x2apic_send_IPI_dest();
   0)   9.205 us    |                    }
   0)   9.397 us    |                  }
   0)   9.584 us    |                }
   0)   9.787 us    |              }
   0)   9.996 us    |            }
   0) + 10.207 us   |          }
   0)   0.177 us    |          _raw_spin_unlock_irqrestore();
   0)   0.097 us    |          ttwu_stat();
   0) + 12.176 us   |        }
   0) + 12.332 us   |      }
   0)               |      __cond_resched() {
   0)   0.098 us    |        rcu_all_qs();
   0)   0.287 us    |      }
   0)               |      down() {
   0)   0.086 us    |        _raw_spin_lock_irqsave();
   0)   0.091 us    |        _raw_spin_unlock_irqrestore();
   0)   0.451 us    |      }
   0)               |      kthread_create_on_node() {
   0)               |        __kthread_create_on_node() {
   0)               |          kmem_cache_alloc_trace() {
   0)   0.107 us    |            should_failslab();
   0)   0.380 us    |          }
   0)   0.132 us    |          _raw_spin_lock();
   0)               |          wake_up_process() {
   0)               |            try_to_wake_up() {
   0)   0.124 us    |              _raw_spin_lock_irqsave();
   0)               |              select_task_rq_fair() {
   0)               |                select_idle_sibling() {
   0)   0.129 us    |                  available_idle_cpu();
   0)   0.305 us    |                }
   0)   0.086 us    |                rcu_read_unlock_strict();
   0)   0.690 us    |              }
   0)               |              ttwu_queue() {
   0)   0.123 us    |                ttwu_queue_wakelist.part.0();
   0)   0.102 us    |                _raw_spin_lock();
   0)               |                update_rq_clock() {
   0)   0.126 us    |                  update_rq_clock_task();
   0)   0.314 us    |                }
   0)               |                ttwu_do_activate() {
   0)               |                  activate_task() {
   0)               |                    enqueue_task_fair() {
   0)               |                      enqueue_entity() {
   0)   0.084 us    |                        update_curr();
   0)   0.086 us    |                        __update_load_avg_se();
   0)   0.086 us    |                        __update_load_avg_cfs_rq();
   0)   0.088 us    |                        update_cfs_group();
   0)   0.095 us    |                        check_spread.isra.0();
   0)   1.117 us    |                      }
   0)   0.084 us    |                      hrtick_update();
   0)   1.522 us    |                    }
   0)   1.719 us    |                  }
   0)               |                  ttwu_do_wakeup() {
   0)               |                    check_preempt_curr() {
   0)               |                      resched_curr() {
   0)               |                        native_smp_send_reschedule() {
   0)               |                          x2apic_send_IPI() {
   0)   7.542 us    |                            __x2apic_send_IPI_dest();
   0)   7.959 us    |                          }
   0)   8.147 us    |                        }
   0)   8.352 us    |                      }
   0)   8.537 us    |                    }
   0)   8.844 us    |                  }
   0) + 10.825 us   |                }
   0) + 11.790 us   |              }
   0)   0.112 us    |              _raw_spin_unlock_irqrestore();
   0)   0.089 us    |              ttwu_stat();
   0) + 13.395 us   |            }
   0) + 13.573 us   |          }
   0)               |          wait_for_completion_killable() {
   0)               |            wait_for_common() {
   0)   0.087 us    |              _raw_spin_lock_irq();
   0)   0.122 us    |              __prepare_to_swait();
   0)               |              schedule_timeout() {
   0)               |                schedule() {
   0)               |                  rcu_note_context_switch() {
   0)   0.095 us    |                    rcu_qs();
   0)   0.261 us    |                  }
   0)   0.093 us    |                  _raw_spin_lock();
   0)               |                  update_rq_clock() {
   0)               |                    update_rq_clock_task() {
   0)   0.095 us    |                      update_irq_load_avg();
   0)   0.329 us    |                    }
   0)   0.494 us    |                  }
   0)               |                  deactivate_task() {
   0)               |                    dequeue_task_fair() {
   0)               |                      dequeue_entity() {
   0)               |                        update_curr() {
   0)   0.086 us    |                          update_min_vruntime();
   0)               |                          cpuacct_charge() {
   0)   0.162 us    |                            rcu_read_unlock_strict();
   0)   0.323 us    |                          }
   0)   0.103 us    |                          rcu_read_unlock_strict();
   0)   0.943 us    |                        }
   0)   0.088 us    |                        __update_load_avg_se();
   0)   0.090 us    |                        __update_load_avg_cfs_rq();
   0)   0.086 us    |                        clear_buddies();
   0)   0.096 us    |                        update_cfs_group();
   0)   0.088 us    |                        update_min_vruntime();
   0)   2.031 us    |                      }
   0)   0.087 us    |                      hrtick_update();
   0)   2.412 us    |                    }
   0)   2.602 us    |                  }
   0)               |                  pick_next_task_fair() {
   0)               |                    newidle_balance() {
   0)   0.099 us    |                      __msecs_to_jiffies();
   0)   0.085 us    |                      rcu_read_unlock_strict();
   0)   0.095 us    |                      nohz_newidle_balance();
   0)   0.628 us    |                    }
   0)   0.086 us    |                    try_steal();
   0)   0.092 us    |                    __unthrottle_qos_cfs_rqs();
   0)   1.231 us    |                  }
   0)               |                  put_prev_task_fair() {
   0)               |                    put_prev_entity() {
   0)   0.085 us    |                      check_cfs_rq_runtime();
   0)   0.091 us    |                      check_spread.isra.0();
   0)   0.444 us    |                    }
   0)   0.609 us    |                  }
   0)   0.086 us    |                  pick_next_task_idle();
   0)   0.185 us    |                  __traceiter_sched_switch();
   0)   0.088 us    |                  enter_lazy_tlb();
   0)   0.304 us    |                  finish_task_switch();
   0) + 57.714 us   |                }
   0) + 57.961 us   |              }
   0)   0.112 us    |              _raw_spin_lock_irq();
   0)   0.089 us    |              __finish_swait();
   0) + 58.955 us   |            }
   0) + 59.143 us   |          }
   0)               |          __set_task_comm() {
   0)   0.155 us    |            _raw_spin_lock();
   0)   0.432 us    |          }
   0)               |          sched_setscheduler_nocheck() {
   0)               |            __sched_setscheduler() {
   0)   0.132 us    |              cpuset_read_lock();
   0)               |              task_rq_lock() {
   0)   0.086 us    |                _raw_spin_lock_irqsave();
   0)   0.116 us    |                _raw_spin_lock();
   0)   0.497 us    |              }
   0)               |              update_rq_clock() {
   0)   0.127 us    |                update_rq_clock_task();
   0)   0.317 us    |              }
   0)   0.115 us    |              _raw_spin_unlock_irqrestore();
   0)   0.085 us    |              cpuset_read_unlock();
   0)   1.757 us    |            }
   0)   1.953 us    |          }
   0)   0.083 us    |          housekeeping_cpumask();
   0)               |          set_cpus_allowed_ptr() {
   0)               |            __set_cpus_allowed_ptr() {
   0)               |              task_rq_lock() {
   0)   0.086 us    |                _raw_spin_lock_irqsave();
   0)   0.084 us    |                _raw_spin_lock();
   0)   0.427 us    |              }
   0)               |              update_rq_clock() {
   0)   0.085 us    |                update_rq_clock_task();
   0)   0.245 us    |              }
   0)   0.093 us    |              _raw_spin_unlock_irqrestore();
   0)   1.393 us    |            }
   0)   1.550 us    |          }
   0)   0.196 us    |          kfree();
   0) + 78.858 us   |        }
   0) + 79.041 us   |      }
   0)               |      wake_up_process() {
   0)               |        try_to_wake_up() {
   0)   0.081 us    |          _raw_spin_lock_irqsave();
   0)               |          select_task_rq_fair() {
   0)               |            select_idle_sibling() {
   0)   0.107 us    |              available_idle_cpu();
   0)   0.291 us    |            }
   0)   0.084 us    |            rcu_read_unlock_strict();
   0)   0.686 us    |          }
